ID,rating,claim description,content,title,content type
54,FALSE,"Alkaline food, lemons 'prevent' coronavirus infection",,,Text
55,FALSE,,"MGA KASAMA MagbiBigay lang Ako ng Info, na galing sa aking head ng SWAT nA naka.Duty ngayon sa Metro Manila.. MagHanda.handa daw Tayo dahil within this Week mag Declare daw si Pres. DUTERTE ng TOTAL...",https://www.facebook.com/gheramie.martinez/posts/669982876902623,Text
56,FALSE,,"Wag na sana dumating dito😢🙁 Pinapayuhan ang mga residente sa #Luzon lalo na sa mga probinsya ng #BATAAN, #ZAMBALES, #PANGASINAN, #ILOCOS, #LAUNION, #CAVITE, #BATANGAS, #MINDORO, #PALAWAN kasama ang...",https://www.facebook.com/verlyn.c.garcia/posts/2355010657914478,Text
57,FALSE,Nobel Prize winner Dr Tasuku Honjo says coronavirus is 'manufactured',,,Text
58,FALSE,COVID-19 vaccines contain toxic preservatives,,,Text
59,FALSE,Ninoy Aquino found guilty of treason,,,Text
60,FALSE,"COVID-19 is bacteria, can be cured by aspirin",ASPIRIN 100mg or APRONAX PARACETAMOL. lang pala katapat ng COVID-19 batay sa libo-libong GUMALING sa ITALY?BACTERIA ANG COVID AT HINDI VIRUS? Niloko tayo WHO.,https://www.facebook.com/groups/296872811278185/permalink/352936695671796/,Text
61,FALSE,"COVID-19 is bacteria, can be cured by aspirin",,,Text
62,FALSE,'Red-tagging' a term invented by CPP-NPA-NDF,,,Text
63,FALSE,,"Ikalat nyo to nang malaman ng lahat ng Pilipino sa mundo Ferdinand E. Marcos 10th President of the Philippines During His time as President, the Philippines is; -Richest country in Asia -First to...",Philippines was richest country in Asia during Marcos rule,Text
64,FALSE,Bill Gates is developing COVID-19 vaccines with microchips,,,Text
65,FALSE,"Wealth of Marcos family from 'hard work,' and 'not from public funds'",,,Text
66,FALSE,"Wealth of Marcos family from 'hard work,' and 'not from public funds'",,,Text
67,FALSE,"Wealth of Marcos family from 'hard work,' and 'not from public funds'",,,Text
68,FALSE,"Wealth of Marcos family from 'hard work,' and 'not from public funds'",,,Text
69,FALSE,2020 night lights satellite imagery of Philippines,,,Image
70,FALSE,"Gabby Lopez sold all his shares in ABS-CBN Corporation, Lopez Holdings","Hindi lang ito basta REVELATIONS, APOCALYPSE pa! Ahihihihi",https://www.facebook.com/ingkaygarutay/posts/3103627549731367,Image
71,FALSE,"Gabby Lopez sold all his shares in ABS-CBN Corporation, Lopez Holdings",,,Image
72,FALSE,,"Corazon Aquino filed a libel case against veteran journalist Louie Beltran. You did not cry about her weaponizing the law against press freedom. Never. Not then. Not now. In fact, you even turned...",https://www.facebook.com/DU30MEDIANetwork/posts/2271539226423388,Image
73,FALSE,"Heat, garlic, ginger can prevent COVID-19",,,Image
74,FALSE,"Heat, garlic, ginger can prevent COVID-19",,,Image
75,FALSE,"Heat, garlic, ginger can prevent COVID-19","COPY PASTE SHARE Isang doktor na Pilipino, nagtapos sa degree ng master,at nagtatrabaho sa Shenzhen Hospital,China.Inilipat siya sa Wuhan upang pag-aralan ang bagong virus ng pneumonia. May mensahe...",https://www.facebook.com/camilah.kapampangan/posts/3002867679804418,Image
76,FALSE,OVP sent spoiled food to frontliners at Diliman Doctors Hospital,,,Image
77,FALSE,"Heat, garlic, ginger can prevent COVID-19",,,Image
78,FALSE,,Pakihanap po Kung nasaan Utak neto ?!!!!!,https://www.facebook.com/permalink.php?story_fbid=169081188138268&id=103752658004455,Image
79,FALSE,"'No poor Filipino' during Martial Law, only during the Aquinos' terms",,,Image
80,FALSE,,"Typhoon Hagibis Photo taken October 11 at 4pm in Okinawa, Japan #prayforjapan 🙏 #hagibis Photo by Keith Grey",https://www.facebook.com/groups/hagupitruby/permalink/2458436364429330/,Image
81,FALSE,Japanese government bans microwave ovens,JAPAN DISPOSING MICROWAVE OVENS for health safety IMPORTANT INFORMATION FOR OUR HEALTH The Japanese government decided to dispose of all microwave ovens in the country before the end of this...,https://www.facebook.com/zanderfrias24/posts/3334484776592001,Image
82,FALSE,Japanese government bans microwave ovens,"Don't use Microwave Oven anymore..... The Japanese government has decided to dispose of all the "" *microwave ovens*"" in the country before the end of this year. The reason for the ban on ""microwave...",https://www.facebook.com/permalink.php?story_fbid=2457593864334634&id=453149181445789,Image
83,FALSE,Japanese government bans microwave ovens,"*Ctto* Huwag na raw gumamit ng Microwave Oven... The Japanese government has decided to dispose of all the "" *microwave ovens*"" in the country before the end of this year. The reason for the ban...",https://www.facebook.com/bel.estares/posts/2810626709163806,Image
84,FALSE,Nostradamus predicts Bongbong Marcos will lead Philippines in 2022,,,Image
85,FALSE,Nostradamus predicts Bongbong Marcos will lead Philippines in 2022,,,Image
86,FALSE,Nostradamus predicts Bongbong Marcos will lead Philippines in 2022,,,Image
87,FALSE,Nostradamus predicts Bongbong Marcos will lead Philippines in 2022,,,Image
88,FALSE,Nostradamus predicts Bongbong Marcos will lead Philippines in 2022,,,Image
89,FALSE,Robredo says mostly young people experience teenage pregnancies,,,Image
90,FALSE,Mandatory seminar now required for driver's license renewal,,,Image
91,FALSE,Magnitude 8.0 earthquake next to hit Mindanao – NDRRMC,Prepare for the worst.,Magnitude 8.0 earthquake next to strike Mindanao,Image
92,FALSE,Manila ordinance for temporary closure of malls in March 2021,,,Image
93,FALSE,Manila ordinance for temporary closure of malls in March 2021,,,Image
94,FALSE,Photo shows cleaned up Pasig River during Duterte's term,,,Image
95,FALSE,Photo shows cleaned up Pasig River during Duterte's term,,,Image
96,FALSE,Filipino 'royal family' ruled over pre-colonial 'Maharlika kingdom',,,Image
97,FALSE,Filipino 'royal family' ruled over pre-colonial 'Maharlika kingdom',,,Image
98,FALSE,Filipino 'royal family' ruled over pre-colonial 'Maharlika kingdom',,,Image
99,FALSE,Filipino 'royal family' ruled over pre-colonial 'Maharlika kingdom',,,Image
100,FALSE,Filipino 'royal family' ruled over pre-colonial 'Maharlika kingdom',,,Image
101,FALSE,Filipino 'royal family' ruled over pre-colonial 'Maharlika kingdom',,,Image
102,FALSE,Robredo quote on 28-day quarantine,,,Image
103,FALSE,Robredo quote on 28-day quarantine,,,Image
104,FALSE,Robredo quote on 28-day quarantine,,,Image
105,FALSE,4-year-old boy 'kidnapped' in Rockwell,"PLEASE READ, READ, READ!!! and SHARE 
(Post from a close friend)

Last Friday at about 6:15 p.m. I got a call from my close 

friend and kumare, crying and asking my help. My 4 year old...",https://www.facebook.com/onlyUsefulinfo/photos/a.312850485467632/428406407245372/?type=3,Image
106,FALSE,No infrastructure built under Noynoy Aquino,"Ikumpara na lang natin! Idagdag pa ang dalawang kasuklam-suklam na mukha sa 500 petot! Impressive ang katalinuhan ng mag-ina, diba ooo-tang na loob genetically engineered mamasangsang?! 👊🇵🇭😂",https://www.facebook.com/nicknangitncnlaw/posts/3794611600630189,Image
107,FALSE,No infrastructure built under Noynoy Aquino,,,Image
108,FALSE,Former South Korean president visited NLEX in 1960s,,,Image
109,FALSE,Panelo quote on betting on next president and vice president,,,Image
110,FALSE,Panelo quote on betting on next president and vice president,,,Image
111,FALSE,Panelo quote on betting on next president and vice president,,,Image
112,FALSE,Panelo quote on betting on next president and vice president,,,Image
113,FALSE,Panelo quote on betting on next president and vice president,,https://www.facebook.com/randy.valdez.9022/posts/2956351724633586,Image
114,FALSE,Namigay sina Robredo at Pangilinan ng Lugaw Kits,,,Image
115,FALSE,Russian university completes clinical trials for world's first COVID-19 vaccine,,,Image
116,FALSE,Photo of Sarah Elago wearing hammer-and-sickle bandana,,,Image
117,FALSE,Renato Reyes' son crashes sports car in Pampanga,,,Image
118,FALSE,Renato Reyes' son crashes sports car in Pampanga,"Crabbler. 202,556 likes · 13,876 talking about this. Utak talangka sa mga utak talangka.",Crabbler | Facebook,Image
119,FALSE,Renato Reyes' son crashes sports car in Pampanga,,,Image
120,FALSE,"Sinulog Queen 2020 ‘kidnapped, raped by 3 men’",,,Image
121,FALSE,Robredo bans police from carrying firearms during anti-drug ops,Ctto.... Hindi pwede sa akin yan. Nilagay nya sa alanganin ang mga police..,Robredo to prohibit police from carrying firearms during drug ops,Image
122,FALSE,Robredo bans police from carrying firearms during anti-drug ops,Ang talino mo talaga nyawa ka! Papayag siguro kapulisan jan kung ikaw ang frontliner!,Robredo to prohibit police from carrying firearms during drug ops,Image
123,FALSE,Robredo bans police from carrying firearms during anti-drug ops,,,Image
124,FALSE,Robredo bans police from carrying firearms during anti-drug ops,lutang nanaman siya,Robredo to prohibit police from carrying firearms during drug ops,Image
125,FALSE,Robredo bans police from carrying firearms during anti-drug ops,"Just what is this Leni Robredo thinking when she uttered this stupidity? Who is she to make this kind of stupid order to disarm the police, who have permits to carry guns when confronting criminals...",Robredo to prohibit police from carrying firearms during drug ops,Image
126,FALSE,Robredo bans police from carrying firearms during anti-drug ops,DALA NA LANG MO PNTIK O LUTHANG BA KAHA,Robredo to prohibit police from carrying firearms during drug ops,Image
127,FALSE,Robredo bans police from carrying firearms during anti-drug ops,ITS NOT MY POLICY TO SHOOT OUR DRUG ADDICTS AND EVERY LAWLESS ELEMENTS IN THIS COUNTRY!! Lets give PNP/PDEA broom sticks and a megaphone.,Robredo to prohibit police from carrying firearms during drug ops,Image
128,FALSE,Robredo bans police from carrying firearms during anti-drug ops,🤦‍♂️,Robredo to prohibit police from carrying firearms during drug ops,Image
129,FALSE,Robredo bans police from carrying firearms during anti-drug ops,Pano ba to? 🤷‍♀️🤦‍♀️,Robredo to prohibit police from carrying firearms during drug ops,Image
130,FALSE,Robredo bans police from carrying firearms during anti-drug ops,,,Image
131,FALSE,Robredo bans police from carrying firearms during anti-drug ops,Very wrong👎🏻👎🏻👎🏻,Robredo to prohibit police from carrying firearms during drug ops,Image
132,FALSE,Robredo bans police from carrying firearms during anti-drug ops,,,Image
133,FALSE,Robredo bans police from carrying firearms during anti-drug ops,,,Image
134,FALSE,Robredo bans police from carrying firearms during anti-drug ops,As long as u stay in front of them ...,Robredo to prohibit police from carrying firearms during drug ops,Image
135,FALSE,,Sus ! Hurot akong bilib🙄😲😱🤣🤣,"Robredo to conduct ""own survey"" of drug lords (quote card)",Image
136,FALSE,Alejano says OFWs 'sold their souls to Duterte',,,Image
137,FALSE,FDA approves Chinese medicine for treating COVID-19,,,Image
138,FALSE,Typing ‘gratula’ in Facebook comments shows hacked accounts,"Mark Zuckerberg, Facebook CEO, created a new word GRATULA. To keep your accound safe, GRATULA in the comment, If Red, your account is still safe, if it does not change in red, please change your...",https://www.facebook.com/keisha.writes.756/posts/153897976320572,Image
139,FALSE,"Locsin says Robredo not essential, not a loss to PH",,,Image
140,FALSE,Tarsier ang ipapalit sa mga Aquino sa bagong disenyo ng P500 bill,,,Image
141,FALSE,"Noynoy Aquino incurred P6.4-trillion debt, higher than Duterte",OH ETO YAN!..ANU KA....,https://www.facebook.com/rdlazatin/posts/10220760567303056,Image
142,FALSE,"Noynoy Aquino incurred P6.4-trillion debt, higher than Duterte",,,Image
143,FALSE,"Noynoy Aquino incurred P6.4-trillion debt, higher than Duterte",,,Image
144,FALSE,"Noynoy Aquino incurred P6.4-trillion debt, higher than Duterte",6.4-TRILLION TOTAL DEPT OF AQUINO ADMINISTRATION? ANG LAKI NG UTANG SA PANAHON NI NOYNOY AQUINO. SAAN KAYA YAN NAPUNTA PERA NA YAN? NEWS SOURCE: Phil Daily Inquirer...,https://www.facebook.com/SaraDaugh30/posts/206947767498599,Image
145,FALSE,"Noynoy Aquino incurred P6.4-trillion debt, higher than Duterte",,,Image
146,FALSE,"Noynoy Aquino incurred P6.4-trillion debt, higher than Duterte",,,Image
147,FALSE,"Noynoy Aquino incurred P6.4-trillion debt, higher than Duterte",,,Image
148,FALSE,"Noynoy Aquino incurred P6.4-trillion debt, higher than Duterte",,,Image
149,FALSE,"Noynoy Aquino incurred P6.4-trillion debt, higher than Duterte",,,Image
150,FALSE,"Noynoy Aquino incurred P6.4-trillion debt, higher than Duterte",,,Image
151,FALSE,"Noynoy Aquino incurred P6.4-trillion debt, higher than Duterte",Share share lang tayo.. wag maxado damdamin...baka ma stroke,https://www.facebook.com/power.line.313/posts/1203517516713607,Image
152,FALSE,"Robredo wants suspects to 'carry guns,' police to 'train martial arts'",Ikaw din mag enroll and be trained. Pagtapos ka na... LEAD BY EXAMPLE. Manguna ka sa pagraid gamit ang martial arts na matututunan mo! Galeng mo talaga Leni! Taba ng utak mo! 👏👏👏,https://www.facebook.com/iamjonathanlacosta/posts/10157704772190797,Image
153,FALSE,"Robredo wants suspects to 'carry guns,' police to 'train martial arts'",🤣🤣🤣 HASKANG HAITA SA PANGUTOK WHAT A RARE BREED 🤣🤣🤣,"""I will allow suspects to carry guns para patas ang laban"" - Robredo",Image
154,FALSE,"Robredo wants suspects to 'carry guns,' police to 'train martial arts'",,,Image
155,FALSE,"Robredo wants suspects to 'carry guns,' police to 'train martial arts'",,,Image
156,FALSE,"Robredo wants suspects to 'carry guns,' police to 'train martial arts'",,,Image
157,FALSE,"Robredo wants suspects to 'carry guns,' police to 'train martial arts'",,,Image
158,FALSE,"Robredo wants suspects to 'carry guns,' police to 'train martial arts'",Isipin nyo na eto yung gusto nyong maging President! Ayaw ko na Earth na talaga! 😠😣😱,https://www.facebook.com/Cirejboi07/posts/10220335804248652,Image
159,FALSE,"Robredo wants suspects to 'carry guns,' police to 'train martial arts'",Toink! 🤔,"""I will allow suspects to carry guns para patas ang laban"" - Robredo",Image
160,FALSE,"Robredo wants suspects to 'carry guns,' police to 'train martial arts'",,,Image
161,FALSE,Michael V's poem supports Sara Duterte in 2022 elections,,,Image
162,FALSE,Robredo says motorcycle passengers should face backward,,,Image
163,FALSE,Michael V's poem supports Sara Duterte in 2022 elections,,,Image
164,FALSE,Mga larawan ng pagtulong ni Bongbong Marcos pagkatapos ng kalamidad,,,Image
165,FALSE,Mga larawan ng pagtulong ni Bongbong Marcos pagkatapos ng kalamidad,,,Image
166,FALSE,Sinabi ni Robredo na binayaran ang mga sumama sa Marcos caravan,,,Image
167,FALSE,"Drinking cold water causes health problems, warm water cures cancer",,,Image
168,FALSE,"Drinking cold water causes health problems, warm water cures cancer",,,Image
169,FALSE,"Drinking cold water causes health problems, warm water cures cancer",,,Image
170,FALSE,"Drinking cold water causes health problems, warm water cures cancer",,,Image
171,FALSE,Robredo didn&#8217;t give aid to Odette victims in Bohol,,,Image
172,FALSE,Duterte thanks Robredo for setting aside politics to help after Odette,,,Image
173,FALSE,Pope Francis 'kisses' model on the chest,,,Image
174,FALSE,Probiotic milk drink Yakult is made from cow sperm,,,Image
175,FALSE,Alert Level 3 raised in 30 areas,,,Image
176,FALSE,Jovito Salonga 'says Ninoy Aquino is not a hero',,,Image
177,FALSE,Jovito Salonga 'says Ninoy Aquino is not a hero',,,Image
178,FALSE,Jovito Salonga 'says Ninoy Aquino is not a hero',"Former Senator Jovito Salonga: Benigno ""Ninoy"" Aquino Jr., was a mere ambitious politician, nothing in his mind only his desire and eagerness to become a President by all cause, but the truth is......",https://www.facebook.com/maraiah.spears/posts/158273071947088,Image
179,FALSE,'Media did not report on' 23 additional quarantine facilities,,,Image
180,FALSE,Duterte’s Pulse Asia approval rating is 99.9%,,,Image
181,FALSE,,Advisory from a Meralco employee-friend of our officemate: Hi guys. Charge na lahat ng pwedeng ma charge.😊 signal no. 2 na ang metro manila and calabarzon.😊 pag lumakas hanggin magpapatay meralco ng...,https://www.facebook.com/permalink.php?story_fbid=1265587553649860&id=100005958820153,Image
